iter	Passed	Remaining
0	172	51658
1	353	52647
2	549	54391
3	735	54434
4	925	54619
5	1100	53942
6	1258	52679
7	1427	52085
8	1610	52084
9	1771	51375
10	1942	51029
11	2097	50342
12	2256	49826
13	2396	48965
14	2553	48518
15	2718	48254
16	2881	47966
17	3041	47656
18	3216	47577
19	3381	47335
20	3554	47222
21	3721	47020
22	3887	46821
23	4050	46584
24	4233	46571
25	4386	46221
26	4522	45730
27	4679	45459
28	4834	45180
29	4995	44958
30	5145	44649
31	5302	44405
32	5442	44038
33	5624	44007
34	5792	43857
35	5943	43584
36	6103	43383
37	6276	43277
38	6438	43091
39	6581	42777
40	6749	42635
41	6915	42477
42	7086	42351
43	7244	42152
44	7391	41887
45	7539	41630
46	7708	41493
47	7862	41279
48	8046	41218
49	8216	41083
50	8394	40984
51	8562	40836
52	8733	40703
53	8925	40662
54	9112	40590
55	9296	40507
56	9488	40449
57	9655	40285
58	9829	40152
59	10009	40038
60	10180	39886
61	10350	39732
62	10541	39654
63	10716	39517
64	10882	39345
65	11055	39198
66	11233	39066
67	11411	38933
68	11593	38812
69	11752	38615
70	11929	38475
71	12088	38280
72	12256	38112
73	12453	38033
74	12635	37905
75	12814	37769
76	12999	37647
77	13192	37547
78	13429	37568
79	13606	37418
80	13803	37321
81	13968	37136
82	14160	37021
83	14357	36918
84	14522	36734
85	14695	36566
86	14872	36412
87	15046	36247
88	15231	36110
89	15426	35994
90	15596	35819
91	15775	35665
92	15949	35500
93	16134	35357
94	16322	35221
95	16501	35065
96	16682	34913
97	16861	34755
98	17031	34579
99	17207	34414
100	17388	34261
101	17616	34196
102	17796	34038
103	17971	33868
104	18144	33697
105	18331	33550
106	18511	33389
107	18679	33207
108	18851	33032
109	19031	32873
110	19226	32737
111	19441	32633
112	19638	32498
113	19819	32336
114	19994	32164
115	20167	31990
116	20343	31819
117	20524	31656
118	20702	31488
119	20878	31317
120	21057	31150
121	21203	30936
122	21384	30773
123	21558	30598
124	21737	30433
125	21908	30254
126	22074	30069
127	22244	29891
128	22419	29718
129	22585	29534
130	22773	29380
131	22946	29204
132	23112	29021
133	23279	28839
134	23468	28684
135	23648	28517
136	23813	28333
137	24022	28200
138	24209	28041
139	24394	27879
140	24548	27682
141	24709	27494
142	24886	27323
143	25048	27135
144	25195	26933
145	25349	26738
146	25503	26544
147	25666	26360
148	25828	26174
149	25999	25999
150	26162	25815
151	26337	25643
152	26520	25480
153	26691	25305
154	26852	25120
155	27016	24938
156	27180	24756
157	27363	24592
158	27535	24418
159	27697	24235
160	27870	24062
161	28034	23881
162	28202	23704
163	28365	23522
164	28549	23358
165	28726	23188
166	28897	23013
167	29065	22836
168	29245	22669
169	29413	22492
170	29567	22305
171	29742	22133
172	29901	21950
173	30066	21772
174	30235	21596
175	30402	21419
176	30567	21241
177	30748	21074
178	30905	20891
179	31068	20712
180	31224	20528
181	31403	20360
182	31573	20186
183	31743	20012
184	31907	19834
185	32072	19657
186	32238	19480
187	32406	19305
188	32576	19131
189	32746	18958
190	32921	18787
191	33086	18611
192	33253	18435
193	33420	18260
194	33602	18093
195	33757	17912
196	33937	17743
197	34111	17572
198	34284	17400
199	34443	17221
200	34632	17057
201	34803	16884
202	34965	16707
203	35128	16531
204	35293	16355
205	35450	16176
206	35613	16000
207	35775	15823
208	35938	15648
209	36126	15482
210	36280	15303
211	36450	15130
212	36610	14953
213	36781	14781
214	36941	14604
215	37121	14436
216	37286	14261
217	37453	14087
218	37624	13916
219	37803	13746
220	37978	13575
221	38190	13418
222	38363	13246
223	38536	13075
224	38711	12903
225	38921	12744
226	39100	12574
227	39275	12402
228	39458	12233
229	39634	12062
230	39816	11893
231	40001	11724
232	40174	11552
233	40359	11383
234	40524	11209
235	40697	11036
236	40877	10866
237	41057	10695
238	41229	10523
239	41398	10349
240	41567	10176
241	41742	10004
242	41946	9839
243	42120	9666
244	42292	9494
245	42479	9324
246	42709	9164
247	42899	8995
248	43094	8826
249	43321	8664
250	43553	8502
251	43810	8344
252	44019	8177
253	44234	8011
254	44441	7842
255	44610	7667
256	44785	7493
257	44961	7319
258	45150	7147
259	45321	6972
260	45497	6798
261	45668	6623
262	45854	6451
263	46043	6278
264	46223	6105
265	46407	5931
266	46590	5758
267	46780	5585
268	46955	5411
269	47127	5236
270	47298	5061
271	47482	4887
272	47657	4713
273	47825	4538
274	47992	4362
275	48189	4190
276	48370	4016
277	48555	3842
278	48726	3667
279	48911	3493
280	49126	3321
281	49302	3146
282	49501	2973
283	49690	2799
284	49863	2624
285	50041	2449
286	50223	2274
287	50412	2100
288	50580	1925
289	50733	1749
290	50903	1574
291	51076	1399
292	51264	1224
293	51427	1049
294	51605	874
295	51778	699
296	51948	524
297	52125	349
298	52290	174
299	52470	0
